,Bin_centers_keV,Rate_cps,Err_rate_Hz
0,1.25,1.2540167670804577e-06,1.2540167670804577e-06
1,3.75,0.0,0.0
2,6.25,0.0,0.0
3,8.75,0.0,0.0
4,11.25,1.2540167670804577e-06,1.2540167670804577e-06
5,13.75,1.2540167670804577e-06,1.2540167670804577e-06
6,16.25,0.0,0.0
7,18.75,0.0,0.0
8,21.25,0.0,0.0
9,23.75,0.0,0.0
10,26.25,2.5080335341609153e-06,1.7734475194484459e-06
11,28.75,0.0,0.0
12,31.25,1.2540167670804577e-06,1.2540167670804577e-06
13,33.75,2.5080335341609153e-06,1.7734475194484459e-06
14,36.25,1.2540167670804577e-06,1.2540167670804577e-06
15,38.75,2.5080335341609153e-06,1.7734475194484459e-06
16,41.25,2.5080335341609153e-06,1.7734475194484459e-06
17,43.75,2.5080335341609153e-06,1.7734475194484459e-06
18,46.25,7.524100602482746e-06,3.0717012082417024e-06
19,48.75,3.762050301241373e-06,2.1720207541266194e-06
20,51.25,1.0032134136643661e-05,3.5468950388968917e-06
21,53.75,2.5080335341609153e-06,1.7734475194484459e-06
22,56.25,6.270083835402288e-06,2.804066736116424e-06
23,58.75,8.778117369563204e-06,3.3178165056001003e-06
24,61.25,1.1286150903724119e-05,3.762050301241373e-06
25,63.75,6.771690542234471e-05,9.215103624725109e-06
26,66.25,0.0017054628032294225,4.624585333715592e-05
27,68.75,0.002044047330341146,5.062874307104457e-05
28,71.25,0.001849674731443675,4.816142779107998e-05
29,73.75,0.002455364829943536,5.548935633118166e-05
30,76.25,0.0026572615294434897,5.7725648653263284e-05
31,78.75,0.00238388587421995,5.467570627873107e-05
32,81.25,0.0027638529546453287,5.887204724544668e-05
33,83.75,0.002808997558260225,5.935090594714109e-05
34,86.25,0.0025657183054466166,5.672260373638816e-05
35,88.75,0.0030422446769371903,6.176589539900241e-05
36,91.25,0.0030936593643874893,6.228563810845468e-05
37,93.75,0.0027789011558502943,5.903209841684042e-05
38,96.25,0.0033582569022414656,6.48946104354936e-05
39,98.75,0.0034021474890892816,6.531730241979255e-05
40,101.25,0.002896778731955857,6.027112990806388e-05
41,103.75,0.003655458876039534,6.770529316033318e-05
42,106.25,0.0033820832208159945,6.512441221665448e-05
43,108.75,0.0030046241739247765,6.138280779564372e-05
44,111.25,0.0037357159491326836,6.844450626063622e-05
45,113.75,0.0035714397526451433,6.69226817486769e-05
46,116.25,0.003294302047120362,6.427371160059461e-05
47,118.75,0.003605298205356316,6.723915823269876e-05
48,121.25,0.003610314272424638,6.728591704101519e-05
49,123.75,0.00326044359440919,6.394255965715792e-05
50,126.25,0.003873657793511534,6.96967131434141e-05
51,128.75,0.0036705070772445,6.784450912603088e-05
52,131.25,0.003427227824430891,6.555761707415101e-05
53,133.75,0.0039438827324680395,7.032563596522973e-05
54,136.25,0.00367176109401158,6.785609756391983e-05
55,138.75,0.0033858452711172356,6.516062262379858e-05
56,141.25,0.0038423073743345222,6.941410427061909e-05
57,143.75,0.00364417272513581,6.760069303977282e-05
58,146.25,0.003403401505856362,6.532933914751286e-05
59,148.75,0.0037106356137910743,6.821436268279498e-05
60,151.25,0.003874911810278614,6.970799366677736e-05
61,153.75,0.0033369386172010978,6.468830633652773e-05
62,156.25,0.0035965200879867526,6.715725197979048e-05
63,158.75,0.003690571345517787,6.802968725039084e-05
64,161.25,0.0032892859800520407,6.422475979486365e-05
65,163.75,0.0034322438914992127,6.560557437176732e-05
66,166.25,0.003715651680859396,6.826045347365023e-05
67,168.75,0.0031036914985241326,6.238654645830568e-05
68,171.25,0.0034322438914992127,6.560557437176732e-05
69,173.75,0.0036943333958190283,6.806435206143041e-05
70,176.25,0.003074849112881282,6.209599297696752e-05
71,178.75,0.003285523929750799,6.418802144132173e-05
72,181.25,0.00364417272513581,6.760069303977282e-05
73,183.75,0.00298581392241857,6.11903646180929e-05
74,186.25,0.0030159103248285006,6.149798464458823e-05
75,188.75,0.003355748868707305,6.487037341861258e-05
76,191.25,0.002953209486474478,6.0855354840310176e-05
77,193.75,0.002945685385871995,6.07777826547444e-05
78,196.25,0.0030071322074589376,6.140842131972762e-05
79,198.75,0.003005878190691857,6.139561589339307e-05
80,201.25,0.0028867465978192138,6.0166673798522056e-05
81,203.75,0.0027663609881794895,5.889875264362009e-05
82,206.25,0.002893016681654616,6.023198009561328e-05
83,208.75,0.002652245462375168,5.76711390578643e-05
84,211.25,0.002714946300729191,5.8348849027529825e-05
85,213.75,0.0027964573905894206,5.921827805859605e-05
86,216.25,0.0026183870096639955,5.730184301420253e-05
87,218.75,0.0026284191438006393,5.7411511713603765e-05
88,221.25,0.0026246570934993978,5.7370410518706466e-05
89,223.75,0.002386393907754111,5.470446026771775e-05
90,226.25,0.002543146003639168,5.64725396072921e-05
91,228.75,0.002418998343698203,5.507689608662967e-05
92,231.25,0.0023036288011268006,5.37474570723347e-05
93,233.75,0.002500509433558433,5.599714953392836e-05
94,236.25,0.0023374872538379733,5.4141003030509805e-05
95,238.75,0.002131828504036778,5.170443586968307e-05
96,241.25,0.002367583656247904,5.448843549231824e-05
97,243.75,0.0021443686717075826,5.185628476012679e-05
98,246.25,0.0022710243651827087,5.336574399731881e-05
99,248.75,0.002266008298114387,5.330677630638429e-05
100,251.25,0.002008934860862893,5.0192011311507676e-05
101,253.75,0.0020277451123691,5.042644514811944e-05
102,256.25,0.002104240135161008,5.1368788300441274e-05
103,258.75,0.0019311858213039049,4.921117149858496e-05
104,261.25,0.0020315071626703413,5.047320125009563e-05
105,263.75,0.0020114428943970543,5.022333238245699e-05
106,266.25,0.0019675523075492383,4.967236237360359e-05
107,268.75,0.0019688063243163186,4.96881891582568e-05
108,271.25,0.002008934860862893,5.0192011311507676e-05
109,273.75,0.0018095461948971004,4.763613407076193e-05
110,276.25,0.001912375569797698,4.8970920243358275e-05
111,278.75,0.001898581385359813,4.879398416719062e-05
112,281.25,0.0017468453565430775,4.680356147347827e-05
113,283.75,0.0017907359433908935,4.738789822756251e-05
114,286.25,0.0017819578260213304,4.727160873146787e-05
115,288.75,0.0016979387026269397,4.6143727662262194e-05
116,291.25,0.0015737910426859743,4.442477186671022e-05
117,293.75,0.0017756877421859281,4.718836934881724e-05
118,296.25,0.001657810166080365,4.559519431805523e-05
119,298.75,0.0014872638857574229,4.3186269227765464e-05
120,301.25,0.0017468453565430775,4.680356147347827e-05
121,303.75,0.001509836187564871,4.3512755540774285e-05
122,306.25,0.0014697076510182963,4.2930618876081645e-05
123,308.75,0.0017305431385710316,4.658465532687897e-05
124,311.25,0.0014345951815400435,4.2414695703541804e-05
125,313.75,0.0013254957228040437,4.077001178672508e-05
126,316.25,0.0015825691600555376,4.454849337266167e-05
127,318.75,0.0013819264773226644,4.162882382959015e-05
128,321.25,0.0013129555551332393,4.057669627469088e-05
129,323.75,0.001528646439071078,4.378296775611455e-05
130,326.25,0.0014320871480058826,4.237760370195335e-05
131,328.75,0.0012790971024220668,4.005008380966638e-05
132,331.25,0.001408260829431354,4.202359685378621e-05
133,333.75,0.0013091935048319978,4.05185217698296e-05
134,336.25,0.001271573001819584,3.993211570714214e-05
135,338.75,0.0013280037563382046,4.0808564997974865e-05
136,341.25,0.0013229876892698828,4.073142208400615e-05
137,343.75,0.0012051101131643198,3.8874519779494186e-05
138,346.25,0.0012540167670804577,3.965549208015105e-05
139,348.75,0.0012828591527233083,4.0108937748557465e-05
