,Bin_centers_keV,Rate_cps,Err_rate_Hz
1130,2826.25,6.270083835402289e-05,8.86723759724223e-06
1131,2828.75,7.3986989257747e-05,9.632285558215996e-06
1132,2831.25,6.144682158694242e-05,8.778117369563204e-06
1133,2833.75,6.019280481986197e-05,8.688083016506478e-06
1134,2836.25,6.270083835402289e-05,8.86723759724223e-06
1135,2838.75,6.771690542234471e-05,9.215103624725109e-06
1136,2841.25,6.395485512110334e-05,8.955470990297778e-06
1137,2843.75,5.2668704217379226e-05,8.126957498904172e-06
1138,2846.25,6.019280481986197e-05,8.688083016506478e-06
1139,2848.75,5.517673775154014e-05,8.31820619444076e-06
1140,2851.25,6.395485512110334e-05,8.955470990297778e-06
1141,2853.75,5.893878805278151e-05,8.597105818215184e-06
1142,2856.25,6.897092218942518e-05,9.300037250814684e-06
1143,2858.75,7.900305632606884e-05,9.953449516800301e-06
1144,2861.25,4.765263714905739e-05,7.730278518948658e-06
1145,2863.75,6.52088718881838e-05,9.042843508000345e-06
1146,2866.25,6.52088718881838e-05,9.042843508000345e-06
1147,2868.75,6.019280481986197e-05,8.688083016506478e-06
1148,2871.25,6.52088718881838e-05,9.042843508000345e-06
1149,2873.75,9.028920722979295e-05,1.0640685116690674e-05
1150,2876.25,5.1414687450298766e-05,8.029625155440062e-06
1151,2878.75,6.771690542234471e-05,9.215103624725109e-06
1152,2881.25,5.517673775154014e-05,8.31820619444076e-06
1153,2883.75,4.890665391613785e-05,7.831332200375488e-06
1154,2886.25,5.016067068321831e-05,7.93109841603021e-06
1155,2888.75,6.395485512110334e-05,8.955470990297778e-06
1156,2891.25,4.1382553313655105e-05,7.203777878302776e-06
1157,2893.75,6.019280481986197e-05,8.688083016506478e-06
1158,2896.25,6.52088718881838e-05,9.042843508000345e-06
1159,2898.75,4.5144603614896476e-05,7.524100602482746e-06
1160,2901.25,5.392272098445968e-05,8.223137858574041e-06
1161,2903.75,6.646288865526426e-05,9.129379867346024e-06
1162,2906.25,6.646288865526426e-05,9.129379867346024e-06
1163,2908.75,5.392272098445968e-05,8.223137858574041e-06
1164,2911.25,7.273297249066655e-05,9.550307169033754e-06
1165,2913.75,5.016067068321831e-05,7.93109841603021e-06
1166,2916.25,5.1414687450298766e-05,8.029625155440062e-06
1167,2918.75,5.893878805278151e-05,8.597105818215184e-06
1168,2921.25,6.771690542234471e-05,9.215103624725109e-06
1169,2923.75,6.144682158694242e-05,8.778117369563204e-06
1170,2926.25,5.517673775154014e-05,8.31820619444076e-06
1171,2928.75,5.893878805278151e-05,8.597105818215184e-06
1172,2931.25,6.019280481986197e-05,8.688083016506478e-06
1173,2933.75,5.893878805278151e-05,8.597105818215184e-06
1174,2936.25,6.52088718881838e-05,9.042843508000345e-06
1175,2938.75,5.768477128570105e-05,8.505155518711604e-06
1176,2941.25,5.893878805278151e-05,8.597105818215184e-06
1177,2943.75,5.1414687450298766e-05,8.029625155440062e-06
