,Bin_centers_keV,Rate_cps,Err_rate_Hz
0,250.0,0.747179556312782,0.0009679750470110094
1,750.0,0.17802523632181008,0.00047248982138349896
2,1250.0,0.07322203902982792,0.00030302089806352283
3,1750.0,0.030639391670076822,0.00019601609854147603
4,2250.0,0.01640880939724779,0.00014344658278249819
5,2750.0,0.004523238478859211,7.53141214779337e-05
6,3250.0,0.0003812210971924591,2.1864529444837194e-05
7,3750.0,0.00031726624207135577,1.994635774235706e-05
8,4250.0,0.00020942080010243644,1.6205468049515268e-05
9,4750.0,0.00018434046476082728,1.5204145278886335e-05
10,5250.0,0.0001630221797204595,1.4297991004874075e-05
11,5750.0,0.0001542440623508963,1.3907718734955331e-05
12,6250.0,0.0001391958611459308,1.3211886458231482e-05
13,6750.0,9.15432239968734e-05,1.0714323954626411e-05
14,7250.0,0.00010157535813351707,1.1286150903724119e-05
15,7750.0,6.897092218942518e-05,9.300037250814684e-06
16,8250.0,9.655929106519524e-05,1.1003952472323619e-05
17,8750.0,7.900305632606884e-05,9.953449516800301e-06
18,9250.0,6.019280481986197e-05,8.688083016506478e-06
19,9750.0,7.022493895650563e-05,9.384202199369942e-06
20,10250.0,8.401912339439066e-05,1.0264569620396553e-05
21,10750.0,6.395485512110334e-05,8.955470990297778e-06
22,11250.0,5.2668704217379226e-05,8.126957498904172e-06
23,11750.0,6.771690542234471e-05,9.215103624725109e-06
24,12250.0,5.2668704217379226e-05,8.126957498904172e-06
25,12750.0,6.395485512110334e-05,8.955470990297778e-06
26,13250.0,5.392272098445968e-05,8.223137858574041e-06
27,13750.0,5.2668704217379226e-05,8.126957498904172e-06
28,14250.0,5.2668704217379226e-05,8.126957498904172e-06
29,14750.0,4.2636570080735564e-05,7.312111444175572e-06
30,15250.0,4.389058684781602e-05,7.418863243392636e-06
31,15750.0,6.395485512110334e-05,8.955470990297778e-06
32,16250.0,8.276510662731021e-05,1.0187680375819067e-05
33,16750.0,9.78133078322757e-05,1.107517620922015e-05
34,17250.0,0.00015173602881673537,1.3794184437885034e-05
35,17750.0,0.00020816678333535597,1.6156875832033284e-05
36,18250.0,0.00023826318574528697,1.7285428253375597e-05
37,18750.0,0.0003059800911676317,1.958836809734331e-05
38,19250.0,0.0006508347021147575,2.856847264117774e-05
39,19750.0,0.0019775844416858816,4.97988358116085e-05
