,Bin_centers_keV,Rate_cps,Err_rate_Hz
0,1.25,1.8089347391601832e-05,1.8089347391601832e-05
1,3.75,0.0,0.0
2,6.25,0.0,0.0
3,8.75,0.0,0.0
4,11.25,0.0,0.0
5,13.75,0.0,0.0
6,16.25,0.0,0.0
7,18.75,0.0,0.0
8,21.25,0.0,0.0
9,23.75,0.0,0.0
10,26.25,0.0,0.0
11,28.75,0.0,0.0
12,31.25,0.0,0.0
13,33.75,0.0,0.0
14,36.25,0.0,0.0
15,38.75,0.0,0.0
16,41.25,0.0,0.0
17,43.75,0.0,0.0
18,46.25,0.0,0.0
19,48.75,0.0,0.0
20,51.25,0.0,0.0
21,53.75,0.0,0.0
22,56.25,0.0,0.0
23,58.75,0.0,0.0
24,61.25,0.0,0.0
25,63.75,0.0,0.0
26,66.25,0.0,0.0
27,68.75,0.0,0.0
28,71.25,0.0,0.0
29,73.75,0.0,0.0
30,76.25,0.0,0.0
31,78.75,0.0,0.0
32,81.25,0.0,0.0
33,83.75,0.0,0.0
34,86.25,0.0,0.0
35,88.75,0.0,0.0
36,91.25,0.0,0.0
37,93.75,0.0,0.0
38,96.25,0.0,0.0
39,98.75,0.0,0.0
40,101.25,0.0,0.0
41,103.75,0.0,0.0
42,106.25,0.0,0.0
43,108.75,0.0,0.0
44,111.25,0.0,0.0
45,113.75,0.0,0.0
46,116.25,0.0,0.0
47,118.75,0.0,0.0
48,121.25,0.0,0.0
49,123.75,0.0,0.0
50,126.25,0.0,0.0
51,128.75,3.6178694783203665e-05,2.5582200415681684e-05
52,131.25,0.0,0.0
53,133.75,0.0,0.0
54,136.25,0.0,0.0
55,138.75,0.0,0.0
56,141.25,1.8089347391601832e-05,1.8089347391601832e-05
57,143.75,1.8089347391601832e-05,1.8089347391601832e-05
58,146.25,1.8089347391601832e-05,1.8089347391601832e-05
59,148.75,5.4268042174805494e-05,3.133166875801792e-05
60,151.25,7.235738956640733e-05,3.6178694783203665e-05
61,153.75,3.6178694783203665e-05,2.5582200415681684e-05
62,156.25,1.8089347391601832e-05,1.8089347391601832e-05
63,158.75,0.00012662543174121282,4.7859914577633384e-05
64,161.25,0.007163381567074326,0.00035997346800202454
65,163.75,0.014489567260673068,0.000511963685950767
66,166.25,0.009641622159723777,0.00041762501441581503
67,168.75,0.009424549991024555,0.0004128970317127033
68,171.25,0.01785418587551101,0.0005683049979512316
69,173.75,0.011559092983233571,0.0004572706512619624
70,176.25,0.011613361025408376,0.0004583427996300383
71,178.75,0.019482227140755173,0.0005936503808734683
72,181.25,0.012698721868904486,0.00047928237117167633
73,183.75,0.011215395382793135,0.0004504211176371644
74,186.25,0.019409869751188767,0.0005925469405498587
75,188.75,0.01244547100542206,0.00047447913386068706
76,191.25,0.011432467551492359,0.0004547591418346209
77,193.75,0.019699299309454396,0.0005969484639228604
78,196.25,0.013187134248477736,0.0004884123795732495
79,198.75,0.010835519087569497,0.0004427273076549233
80,201.25,0.019174708235097943,0.0005889464817768208
81,203.75,0.013277580985435746,0.0004900844569721368
82,206.25,0.011305842119751145,0.0004522336847900458
83,208.75,0.017637113706811786,0.0005648396912644336
84,211.25,0.013675546628050985,0.0004973748221662043
85,213.75,0.011468646246275561,0.0004554781290690794
86,216.25,0.017438130885504166,0.0005616443780971248
87,218.75,0.012988151427170115,0.0004847135062496292
88,221.25,0.010419464097562656,0.00043414433739844395
89,223.75,0.016841182421581304,0.0005519474606421543
90,226.25,0.012861525995428903,0.00048234490949675314
91,228.75,0.010184302581471832,0.0004292171796857988
92,231.25,0.0167688250320149,0.0005507604754819524
93,233.75,0.01302433012195332,0.0004853881252347625
94,236.25,0.01065462561365348,0.00043901620021684465
95,238.75,0.015574928104169179,0.0005307921298168792
96,241.25,0.011577182330625173,0.00045762831314790096
97,243.75,0.010310928013213044,0.0004318772496448611
98,246.25,0.015122694419379131,0.0005230293231255657
99,248.75,0.012608275131946477,0.0004775724749927222
100,251.25,0.009135120432758926,0.0004065075238815344
101,253.75,0.014760907471547095,0.0005167351188646911
102,256.25,0.011179216688009933,0.00044969404514114277
103,258.75,0.009153209780150526,0.00040690980752661925
104,261.25,0.014145869660232633,0.0005058552662968616
105,263.75,0.010944055171919109,0.00044493911479853227
106,266.25,0.007923134157521602,0.0003785819940325672
107,268.75,0.013295670332827346,0.0004904181883400413
108,271.25,0.010310928013213044,0.0004318772496448611
109,273.75,0.007905044810130001,0.00037814957585143575
110,276.25,0.013512742501526568,0.000494405393703767
111,278.75,0.009840604981031396,0.0004219124577983024
112,281.25,0.007597525904472769,0.0003707213042201673
113,283.75,0.012282666878897645,0.00047136549308121964
114,286.25,0.00947881803319936,0.0004140840883979041
115,288.75,0.008031670241871213,0.00038116620146597346
116,291.25,0.012264577531506043,0.00047101826246829034
117,293.75,0.008501993274052861,0.00039216770628827213
118,296.25,0.008013580894479611,0.00038073671828567444
119,298.75,0.011197306035401535,0.0004500577282132351
120,301.25,0.00908085239058412,0.00040529827720474474
121,303.75,0.007253828304032334,0.00036223889922353024
122,306.25,0.010853608434961099,0.00044309670889370326
123,308.75,0.008719065442752083,0.00039714254836777823
124,311.25,0.00622273550271103,0.00033550741308441143
125,313.75,0.010944055171919109,0.00044493911479853227
126,316.25,0.008176385021004028,0.0003845848008598774
127,318.75,0.00622273550271103,0.00033550741308441143
128,321.25,0.0098767836758146,0.00042268732063253613
129,323.75,0.007832687420563594,0.00037641493562344807
130,326.25,0.005716233775746179,0.0003215632729978354
131,328.75,0.009587354117548972,0.00041644805102034944
